Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,SAINT-ANDRE-DE-CUBZAC,0331530J,COLLEGE PRIVE,STAM - SAINT ANDRE SAINTE MARI,PRIVE,632,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,SAINT-LOUBES,0332340P,COLLEGE,MAX LINDER,PUBLIC,1023,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,SAINT-MEDARD-EN-JALLES,0330119A,LYCEE PROFESSIONNEL,JEHAN DUPERIER,PUBLIC,17,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,TALENCE,0330128K,COLLEGE,HENRI BRISSON,PUBLIC,487,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,CAPBRETON,0400005N,COLLEGE,JEAN ROSTAND,PUBLIC,525,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,DAX,0400729A,COLLEGE,L.DUSSARRAT DIT LEON DES LANDE,PUBLIC,679,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,DAX,0401022U,COLLEGE PRIVE,ST JACQUES DE COMPOSTELLE,PRIVE,591,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,GEAUNE,0400011V,COLLEGE,PIERRE DE CASTELNAU,PUBLIC,270,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,MONT-DE-MARSAN,0400020E,LP LYCEE DES METIERS,ROBERT WLERICK,PUBLIC,24,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,MONT-DE-MARSAN,0400648M,COLLEGE,VICTOR DURUY,PUBLIC,582,0,1,1
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,MONTFORT-EN-CHALOSSE,0400023H,COLLEGE,SERGE BARRANX,PUBLIC,492,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,PARENTIS-EN-BORN,0400026L,COLLEGE,ST EXUPERY,PUBLIC,750,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,RION-DES-LANDES,0400033U,COLLEGE,MARIE CURIE,PUBLIC,245,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,SAINT-PAUL-LES-DAX,0401066S,COLLEGE,DANIELLE MITTERRAND,PUBLIC,507,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,SAINT-VINCENT-DE-TYROSSE,0400039A,COLLEGE,JEAN-CLAUDE SESCOUSSE,PUBLIC,472,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,SOUSTONS,0400728Z,COLLEGE,F. MITTERRAND,PUBLIC,558,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LANDES,TARNOS,0400091G,COLLEGE,LANGEVIN-WALLON,PUBLIC,506,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LOT-ET-GARONNE,AGEN,0470777P,COLLEGE,JOSEPH CHAUMIE,PUBLIC,714,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LOT-ET-GARONNE,CASSENEUIL,0470011G,COLLEGE,GASTON CARRERE,PUBLIC,240,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,LOT-ET-GARONNE,CLAIRAC,0470015L,LP LYCEE DES METIERS,PORTE DU LOT,PUBLIC,24,0,1,0
